year,team_id,team_name,wins,losses,ties,total_games
2013,929,Adams St.,1,4,7,12
2013,3,Adelphi,3,0,10,13
2013,4,Adrian,3,2,10,15
2013,721,Air Force,4,4,6,14
2013,14,Albany (NY),4,2,9,15
2013,15,Albion,4,3,9,16
2013,16,Albright,4,1,11,16
2013,934,Alderson-Broaddus,0,5,8,13
2013,18,Alfred,5,0,9,14
2013,21,Alma,2,4,9,15
2013,938,Alvernia,3,4,10,17
2013,22,American Int'l,1,5,9,15
2013,24,Amherst,2,2,10,14
2013,26,Anna Maria,2,3,9,14
2013,966,Arcadia,1,3,11,15
2013,725,Army,4,3,6,13
2013,36,Assumption,0,4,9,13
2013,40,Augustana (IL),2,3,11,16
2013,42,Aurora,3,3,10,16
2013,45,Babson,3,2,11,16
2013,46,Baldwin Wallace,2,1,8,11
2013,50,Bates,3,2,8,13
2013,26107,Becker,2,4,9,15
2013,52,Bellarmine,6,1,7,14
2013,2683,Belmont Abbey,6,2,8,16
2013,53,Beloit,1,5,7,13
2013,296,Benedictine (IL),2,3,10,15
2013,56,Bentley,1,1,10,12
2013,973,Berry,4,3,8,15
2013,59,Bethany (WV),2,4,8,14
2013,62,Binghamton,3,3,8,14
2013,28593,Birmingham-So.,3,5,7,15
2013,69,Bowdoin,1,2,11,14
2013,75,Bridgewater (VA),3,3,9,15
2013,78,Brockport,1,4,9,14
2013,80,Brown,4,1,9,14
2013,81,Bryant,0,6,10,16
2013,83,Bucknell,6,1,7,14
2013,362,LIU Post,5,1,7,13
2013,88,Cabrini,3,3,9,15
2013,114,Calvin,1,5,8,14
2013,116,Canisius,1,5,7,13
2013,121,Carthage,4,1,11,16
2013,123,Castleton,2,2,12,16
2013,1001,Catawba,3,5,6,14
2013,124,Catholic,3,6,7,16
2013,23624,Cazenovia,2,2,9,13
2013,125,Centenary (LA),0,5,6,11
2013,12884,Centenary (NJ),5,0,9,14
2013,132,Centre,2,2,8,12
2013,21323,Chestnut Hill,3,3,7,13
2013,139,Chris. Newport,5,4,6,15
2013,145,Clark (MA),3,1,10,14
2013,146,Clarkson,4,1,10,15
2013,30083,Cobleskill St.,1,0,10,11
2013,1023,Coker,2,7,6,15
2013,151,Colby,2,1,12,15
2013,153,Colgate,6,2,6,14
2013,154,Colorado Col.,5,1,11,17
2013,1036,Concordia (WI),5,2,10,17
2013,163,Connecticut Col.,2,1,11,14
2013,167,Cornell,6,0,8,14
2013,170,Curry,5,0,11,16
2013,1044,Dallas,1,3,5,9
2013,2691,Daniel Webster,1,1,10,12
2013,172,Dartmouth,2,3,9,14
2013,1050,Defiance,0,5,11,16
2013,180,Delaware,2,6,7,15
2013,182,Denison,5,1,8,14
2013,183,Denver,5,2,7,14
2013,177,DePauw,0,4,11,15
2013,20,DeSales,2,2,11,15
2013,184,Detroit,0,6,7,13
2013,185,Dickinson,6,0,9,15
2013,30118,Dominican (CA),2,4,7,13
2013,8956,Dominican (NY),0,3,9,12
2013,2692,Dowling,4,1,8,13
2013,190,Drew,1,3,10,14
