rk,team,div,str,ofs,dfs,sos
1,Brown,D1,2.240,1.741,0.777,1.057
2,Yale,D1,1.779,1.275,0.717,0.970
3,Notre Dame,D1,1.721,1.144,0.665,1.073
4,Denver,D1,1.672,1.377,0.823,1.053
5,Maryland,D1,1.643,1.163,0.707,1.109
6,Albany (NY),D1,1.549,1.401,0.905,1.074
7,Navy,D1,1.523,1.105,0.726,1.003
8,Villanova,D1,1.517,1.482,0.977,1.113
9,North Carolina,D1,1.514,1.427,0.942,1.040
10,Syracuse,D1,1.503,1.329,0.884,1.073
11,Army West Point,D1,1.491,1.187,0.796,0.926
12,Duke,D1,1.467,1.459,0.995,1.058
13,Towson,D1,1.460,1.096,0.750,0.989
14,Stony Brook,D1,1.460,1.282,0.879,1.020
15,Johns Hopkins,D1,1.441,1.401,0.972,1.108
16,Loyola Maryland,D1,1.379,1.076,0.780,1.041
17,Marquette,D1,1.374,0.994,0.724,0.980
18,Harvard,D1,1.354,1.182,0.873,1.087
19,Salisbury,D3,1.327,1.184,0.892,0.757
20,Penn St.,D1,1.325,1.262,0.953,1.074
21,Rutgers,D1,1.316,1.207,0.917,0.944
22,Saint Joseph's,D1,1.295,1.178,0.910,0.859
23,Virginia,D1,1.277,1.169,0.915,1.057
24,Bryant,D1,1.232,1.168,0.948,1.023
25,Air Force,D1,1.221,0.986,0.808,0.957
26,Massachusetts,D1,1.214,1.040,0.857,1.138
27,Cornell,D1,1.209,1.042,0.861,1.068
28,Bucknell,D1,1.198,1.150,0.960,1.022
29,Penn,D1,1.193,1.150,0.964,1.111
30,Limestone,D2,1.189,1.326,1.116,0.709
31,Ithaca,D3,1.182,1.035,0.875,0.685
32,Le Moyne,D2,1.157,0.958,0.828,0.683
33,Ohio St.,D1,1.132,1.026,0.906,1.053
34,Drexel,D1,1.131,1.044,0.923,1.063
35,Hartford,D1,1.096,1.083,0.988,0.960
36,Hofstra,D1,1.071,0.977,0.912,0.959
37,RIT,D3,1.053,1.096,1.040,0.811
38,Lehigh,D1,1.046,1.084,1.036,0.991
39,Fairfield,D1,1.030,1.000,0.971,1.042
40,Boston U.,D1,1.030,0.959,0.931,1.005
41,Princeton,D1,1.021,1.111,1.087,1.096
42,Providence,D1,0.993,0.996,1.003,0.938
43,Marist,D1,0.992,0.880,0.887,0.967
44,High Point,D1,0.967,1.098,1.135,1.022
45,Richmond,D1,0.952,0.733,0.771,0.961
46,Quinnipiac,D1,0.934,0.945,1.012,0.956
47,Ohio Wesleyan,D3,0.934,1.019,1.091,0.658
48,Gettysburg,D3,0.929,0.866,0.932,0.776
49,St. Lawrence,D3,0.915,0.970,1.060,0.693
50,Vermont,D1,0.889,1.050,1.181,0.907
51,Hobart,D1,0.887,0.919,1.036,0.966
52,Mt. St. Mary's,D1,0.872,1.018,1.167,0.908
53,Cabrini,D3,0.870,0.915,1.052,0.698
54,Ursinus,D3,0.863,0.915,1.060,0.750
55,Michigan,D1,0.856,0.973,1.136,1.044
56,Monmouth,D1,0.850,0.869,1.022,0.831
57,Colgate,D1,0.850,0.837,0.984,1.046
58,Denison,D3,0.844,0.796,0.943,0.677
59,Rensselaer,D3,0.842,0.891,1.058,0.751
60,Robert Morris,D1,0.835,1.040,1.246,0.963
61,Georgetown,D1,0.833,0.878,1.054,1.095
62,Merrimack,D2,0.824,1.046,1.270,0.719
63,Binghamton,D1,0.822,0.989,1.203,0.963
64,Holy Cross,D1,0.813,0.925,1.137,1.057
65,Bellarmine,D1,0.804,0.798,0.992,0.986
66,Canisius,D1,0.793,0.923,1.164,0.909
67,Tufts,D3,0.791,1.202,1.519,0.792
68,York (PA),D3,0.785,0.794,1.012,0.730
69,UMBC,D1,0.778,0.920,1.183,1.022
70,Amherst,D3,0.775,1.062,1.370,0.796
71,Stevenson,D3,0.771,0.876,1.136,0.748
72,Delaware,D1,0.770,0.852,1.107,0.978
73,Dickinson,D3,0.768,0.874,1.138,0.806
74,Middlebury,D3,0.756,0.899,1.189,0.839
75,Bowdoin,D3,0.750,0.805,1.073,0.801
76,Furman,D1,0.734,0.833,1.134,0.983
77,Bates,D3,0.722,0.886,1.227,0.792
78,Tampa,D2,0.721,0.936,1.298,0.739
79,Mercer,D1,0.721,0.874,1.212,0.940
80,Mercyhurst,D2,0.716,0.757,1.057,0.733
81,SUNY Cortland,D3,0.712,0.938,1.317,0.819
82,Wesleyan (CT),D3,0.704,0.952,1.352,0.758
83,NYIT,D2,0.702,0.865,1.232,0.689
84,Sacred Heart,D1,0.695,0.889,1.279,1.016
85,Nazareth,D3,0.691,1.001,1.449,0.731
86,Frostburg St.,D3,0.690,0.753,1.091,0.676
87,LIU Post,D2,0.679,0.799,1.177,0.632
88,Stevens,D3,0.678,0.874,1.290,0.680
89,St. John's (NY),D1,0.677,0.842,1.245,1.061
90,Lynchburg,D3,0.677,0.885,1.307,0.805
91,Adelphi,D2,0.671,1.006,1.499,0.699
92,Roanoke,D3,0.661,0.886,1.341,0.723
93,Western New Eng.,D3,0.655,0.821,1.254,0.752
94,UMass Lowell,D1,0.651,0.809,1.242,0.949
95,Siena,D1,0.650,0.792,1.220,0.924
96,Lafayette,D1,0.638,0.759,1.189,0.964
97,Wash. & Lee,D3,0.634,0.706,1.113,0.728
98,Connecticut Col.,D3,0.633,0.719,1.136,0.767
99,Detroit,D1,0.631,0.681,1.079,0.971
100,Jacksonville,D1,0.622,0.796,1.280,0.890
101,Seton Hill,D2,0.619,0.850,1.373,0.729
102,Williams,D3,0.610,0.947,1.554,0.769
103,Dowling,D2,0.602,0.744,1.235,0.650
104,Keene St.,D3,0.596,0.979,1.643,0.702
105,Mount Olive,D2,0.589,0.682,1.157,0.670
106,Lake Erie,D2,0.584,0.761,1.303,0.723
107,Lynn,D2,0.583,0.740,1.270,0.678
108,Frank. & Marsh.,D3,0.573,0.844,1.472,0.731
109,Lindenwood (MO),D2,0.570,0.686,1.204,0.660
110,Chris. Newport,D3,0.560,0.801,1.431,0.690
111,Kenyon,D3,0.557,0.779,1.398,0.628
112,Belmont Abbey,D2,0.556,0.808,1.453,0.637
113,Elizabethtown,D3,0.551,0.753,1.365,0.706
114,Union (NY),D3,0.550,0.749,1.361,0.764
115,Saint Leo,D2,0.550,0.733,1.332,0.656
116,Montclair St.,D3,0.548,0.757,1.382,0.817
117,Endicott,D3,0.544,0.860,1.581,0.755
118,Wagner,D1,0.537,0.705,1.313,0.852
119,Haverford,D3,0.536,0.600,1.120,0.706
120,Dartmouth,D1,0.531,0.697,1.312,0.977
121,Trinity (CT),D3,0.528,0.814,1.542,0.807
122,Aurora,D3,0.525,0.805,1.533,0.546
123,Molloy,D2,0.522,0.697,1.334,0.675
124,Lenoir-Rhyne,D2,0.521,0.799,1.534,0.697
125,Washington Col.,D3,0.520,0.616,1.183,0.729
126,Queens (NC),D2,0.519,0.813,1.565,0.683
127,Hampden-Sydney,D3,0.516,0.676,1.310,0.678
128,Brockport,D3,0.515,0.639,1.241,0.602
129,Sewanee,D3,0.510,0.646,1.267,0.589
130,Pace,D2,0.504,0.771,1.531,0.644
131,Plattsburgh St.,D3,0.501,0.683,1.363,0.754
132,Springfield,D3,0.498,0.720,1.446,0.746
133,Eastern,D3,0.498,0.583,1.172,0.689
134,Baldwin Wallace,D3,0.497,0.591,1.191,0.522
135,Mercy,D2,0.496,0.631,1.273,0.581
136,Colorado Mesa,D2,0.495,0.641,1.295,0.638
137,Hamilton,D3,0.478,0.673,1.406,0.813
138,Rollins,D2,0.474,0.666,1.406,0.691
139,Stockton,D3,0.473,0.703,1.484,0.581
140,Manhattan,D1,0.471,0.623,1.324,0.915
141,St. Anselm,D2,0.466,0.780,1.676,0.660
142,Widener,D3,0.465,0.666,1.433,0.656
143,UIndy,D2,0.460,0.623,1.355,0.630
144,Scranton,D3,0.458,0.548,1.197,0.609
145,Bentley,D2,0.454,0.572,1.258,0.643
146,Roger Williams,D3,0.452,0.648,1.433,0.657
147,Southern N.H.,D2,0.450,0.874,1.943,0.699
148,Alfred,D3,0.442,0.797,1.802,0.620
149,Wingate,D2,0.438,0.651,1.488,0.672
150,Fla. Southern,D2,0.438,0.709,1.620,0.715
151,Wittenberg,D3,0.438,0.691,1.578,0.649
152,SUNY Potsdam,D3,0.438,0.667,1.524,0.626
153,Wheeling Jesuit,D2,0.438,0.779,1.777,0.619
154,Mary Washington,D3,0.437,0.657,1.503,0.724
155,Colby,D3,0.435,0.652,1.501,0.722
156,Ill. Wesleyan,D3,0.433,0.897,2.072,0.591
157,Babson,D3,0.433,0.747,1.724,0.707
158,Capital,D3,0.429,0.633,1.475,0.528
159,Clark (MA),D3,0.427,0.658,1.539,0.601
160,Catholic,D3,0.425,0.748,1.759,0.618
161,Messiah,D3,0.422,0.550,1.301,0.669
162,Colorado Col.,D3,0.422,0.725,1.720,0.660
163,Westminster (UT),D2,0.420,0.658,1.566,0.590
164,Vassar,D3,0.419,0.663,1.582,0.672
165,Kean,D3,0.409,0.605,1.477,0.575
166,Goucher,D3,0.406,0.616,1.518,0.591
167,Morrisville St.,D3,0.404,0.618,1.532,0.566
168,Va. Wesleyan,D3,0.403,0.714,1.772,0.594
169,Whittier,D3,0.403,0.717,1.778,0.572
170,Florida Tech,D2,0.399,0.627,1.570,0.717
171,Chestnut Hill,D2,0.398,0.661,1.661,0.738
172,Susquehanna,D3,0.395,0.602,1.526,0.594
173,Keuka,D3,0.393,0.537,1.366,0.473
174,Clarkson,D3,0.393,0.646,1.641,0.741
175,SUNY Oneonta,D3,0.392,0.637,1.622,0.671
176,U New England,D3,0.389,0.609,1.565,0.588
177,MIT,D3,0.387,0.682,1.763,0.614
178,Farmingdale St.,D3,0.387,0.546,1.412,0.529
179,Wooster,D3,0.386,0.668,1.731,0.606
180,Pfeiffer,D2,0.385,0.637,1.655,0.656
181,Franklin Pierce,D2,0.384,0.629,1.637,0.681
182,Merchant Marine,D3,0.382,0.731,1.913,0.565
183,Albright,D3,0.382,0.650,1.703,0.634
184,SUNY Geneseo,D3,0.381,0.627,1.646,0.583
185,Skidmore,D3,0.379,0.611,1.613,0.668
186,Swarthmore,D3,0.375,0.596,1.590,0.665
187,Saint Michael's,D2,0.372,0.595,1.600,0.703
188,Saint Rose,D2,0.371,0.511,1.380,0.696
189,St. Mary's (MD),D3,0.370,0.708,1.914,0.723
190,Coast Guard,D3,0.369,0.558,1.513,0.555
191,Concordia Wisconsin,D3,0.364,0.552,1.516,0.529
192,Walsh,D2,0.356,0.606,1.703,0.728
193,Tusculum,D2,0.355,0.581,1.638,0.643
194,Albion,D3,0.355,0.723,2.035,0.597
195,Misericordia,D3,0.354,0.650,1.838,0.532
196,Young Harris,D2,0.352,0.637,1.807,0.524
197,Centre,D3,0.351,0.543,1.549,0.547
198,Guilford,D3,0.351,0.521,1.483,0.659
199,John Carroll,D3,0.349,0.557,1.597,0.585
200,Assumption,D2,0.345,0.616,1.785,0.726
201,NJIT,D1,0.344,0.539,1.570,0.899
202,Rockhurst,D2,0.339,0.646,1.909,0.601
203,Catawba,D2,0.335,0.548,1.638,0.634
204,McDaniel,D3,0.334,0.468,1.401,0.734
205,Oberlin,D3,0.328,0.610,1.860,0.672
206,St. John Fisher,D3,0.327,0.592,1.808,0.640
207,DeSales,D3,0.327,0.531,1.625,0.653
208,Post,D2,0.326,0.634,1.942,0.631
209,Mt. St. Mary (NY),D3,0.326,0.618,1.894,0.465
210,Alderson Broaddus,D2,0.326,0.635,1.947,0.614
211,Otterbein,D3,0.324,0.576,1.780,0.568
212,Salve Regina,D3,0.323,0.567,1.755,0.638
213,Wheaton (MA),D3,0.322,0.485,1.506,0.583
214,Alma,D3,0.313,0.540,1.728,0.509
215,SUNY Maritime,D3,0.313,0.533,1.704,0.527
216,Augustana (IL),D3,0.312,0.535,1.715,0.521
217,Eastern Conn. St.,D3,0.312,0.553,1.772,0.593
218,VMI,D1,0.306,0.481,1.573,0.913
219,Carthage,D3,0.305,0.466,1.528,0.558
220,Centenary (NJ),D3,0.299,0.549,1.838,0.488
221,Randolph,D3,0.299,0.468,1.565,0.546
222,Gwynedd Mercy,D3,0.298,0.505,1.693,0.567
223,Rhodes,D3,0.296,0.489,1.649,0.506
224,Lincoln Memorial,D2,0.294,0.582,1.980,0.560
225,Marywood,D3,0.291,0.475,1.634,0.612
226,Shorter,D2,0.291,0.604,2.074,0.607
227,Southern Va.,D3,0.291,0.674,2.319,0.648
228,Mount Union,D3,0.288,0.537,1.863,0.526
229,Trine,D3,0.287,0.481,1.673,0.502
230,Birmingham-So.,D3,0.286,0.524,1.837,0.515
231,Berry,D3,0.282,0.504,1.785,0.572
232,New England Col.,D3,0.281,0.578,2.056,0.448
233,Marymount (VA),D3,0.280,0.529,1.888,0.674
234,Curry,D3,0.279,0.538,1.927,0.481
235,Lebanon Valley,D3,0.277,0.421,1.516,0.584
236,Utica,D3,0.275,0.549,1.997,0.674
237,Muhlenberg,D3,0.274,0.496,1.813,0.678
238,Plymouth St.,D3,0.274,0.457,1.668,0.583
239,Roberts Wesleyan,D2,0.273,0.535,1.958,0.695
240,UMass Boston,D3,0.271,0.487,1.795,0.511
241,Olivet,D3,0.270,0.595,2.203,0.572
242,Oswego St.,D3,0.269,0.471,1.748,0.660
243,Dist. Columbia,D2,0.268,0.617,2.305,0.599
244,Nichols,D3,0.267,0.496,1.856,0.533
245,Coker,D2,0.265,0.584,2.199,0.659
246,Wentworth,D3,0.264,0.508,1.921,0.612
247,Lasell,D3,0.261,0.484,1.858,0.527
248,Randolph-Macon,D3,0.260,0.473,1.819,0.670
249,Emmanuel (MA),D3,0.259,0.499,1.923,0.619
250,Hope,D3,0.256,0.549,2.144,0.390
251,North Greenville,D2,0.256,0.461,1.801,0.626
252,Mars Hill,D2,0.256,0.450,1.755,0.651
253,Ferrum,D3,0.255,0.547,2.143,0.564
254,Adams St.,D2,0.249,0.422,1.699,0.672
255,UMass Dartmouth,D3,0.249,0.587,2.352,0.589
256,Bridgewater (VA),D3,0.247,0.460,1.861,0.600
257,Delaware Valley,D3,0.241,0.438,1.817,0.505
258,Ohio Northern,D3,0.241,0.470,1.949,0.402
259,Benedictine (IL),D3,0.238,0.542,2.280,0.497
260,Rivier,D3,0.237,0.547,2.311,0.488
261,King's (PA),D3,0.236,0.529,2.242,0.548
262,Mount Ida,D3,0.235,0.508,2.163,0.533
263,Colorado St.-Pueblo,D2,0.235,0.608,2.586,0.585
264,FDU-Florham,D3,0.233,0.473,2.033,0.611
265,Hartwick,D3,0.233,0.430,1.846,0.605
266,Shenandoah,D3,0.232,0.494,2.130,0.580
267,Hendrix,D3,0.228,0.407,1.788,0.522
268,Castleton,D3,0.227,0.485,2.134,0.478
269,Methodist,D3,0.225,0.532,2.371,0.502
270,Johnson & Wales (RI),D3,0.222,0.457,2.059,0.479
271,Bryn Athyn,D3,0.222,0.514,2.320,0.478
272,DePauw,D3,0.220,0.484,2.201,0.568
273,Southern Me.,D3,0.218,0.458,2.101,0.461
274,Salem St.,D3,0.217,0.473,2.182,0.522
275,Mitchell,D3,0.215,0.461,2.141,0.462
276,Brevard,D2,0.212,0.486,2.289,0.588
277,Elmhurst,D3,0.208,0.419,2.012,0.565
278,Lycoming,D3,0.207,0.413,1.998,0.692
279,Cazenovia,D3,0.206,0.544,2.638,0.487
280,Huntingdon,D3,0.204,0.429,2.107,0.480
281,Moravian,D3,0.203,0.401,1.979,0.420
282,Mass. Maritime,D3,0.200,0.433,2.171,0.467
283,Thiel,D3,0.200,0.485,2.419,0.380
284,Southwestern (TX),D3,0.199,0.444,2.229,0.509
285,Beloit,D3,0.198,0.543,2.738,0.498
286,Wesley,D3,0.198,0.514,2.591,0.615
287,Drew,D3,0.198,0.329,1.660,0.594
288,Hood,D3,0.197,0.420,2.134,0.529
289,Norwich,D3,0.196,0.391,1.991,0.515
290,Greensboro,D3,0.196,0.467,2.379,0.528
291,Transylvania,D3,0.195,0.356,1.825,0.509
292,Wash. & Jeff.,D3,0.190,0.418,2.194,0.583
293,Hilbert,D3,0.185,0.424,2.291,0.453
294,Regis (MA),D3,0.181,0.372,2.058,0.450
295,Dominican (NY),D2,0.180,0.415,2.309,0.647
296,Manhattanville,D3,0.179,0.368,2.050,0.526
297,Ohio Valley,D2,0.175,0.487,2.778,0.669
298,Hanover,D3,0.174,0.451,2.588,0.470
299,Immaculata,D3,0.172,0.402,2.332,0.493
300,Gordon,D3,0.172,0.395,2.291,0.652
301,Emmanuel (GA),D2,0.167,0.438,2.625,0.658
302,Arcadia,D3,0.167,0.383,2.299,0.633
303,Saint Vincent,D3,0.166,0.401,2.419,0.440
304,Elmira,D3,0.166,0.338,2.037,0.491
305,Georgian Court,D2,0.166,0.418,2.517,0.632
306,Bard,D3,0.162,0.337,2.086,0.530
307,Cornell College,D3,0.157,0.374,2.388,0.520
308,Adrian,D3,0.155,0.433,2.794,0.655
309,American Int'l,D2,0.151,0.414,2.747,0.715
310,Daniel Webster,D3,0.151,0.422,2.790,0.407
311,Notre Dame de Namur,D2,0.150,0.419,2.800,0.570
312,Lees-McRae,D2,0.149,0.430,2.882,0.622
313,Calvin,D3,0.148,0.444,3.008,0.416
314,MSOE,D3,0.147,0.350,2.380,0.390
315,Western Conn. St.,D3,0.147,0.397,2.702,0.608
316,SUNY Poly,D3,0.144,0.334,2.314,0.524
317,Wabash,D3,0.144,0.446,3.106,0.437
318,Wilmington (OH),D3,0.137,0.372,2.716,0.474
319,St. Joseph's (ME),D3,0.137,0.352,2.568,0.427
320,Millsaps,D3,0.136,0.425,3.120,0.467
321,Alvernia,D3,0.134,0.377,2.807,0.516
322,SUNY Canton,D3,0.133,0.358,2.693,0.448
323,Albertus Magnus,D3,0.131,0.432,3.304,0.397
324,Ala.-Huntsville,D2,0.126,0.340,2.691,0.558
325,Rosemont,D3,0.126,0.355,2.814,0.544
326,Kalamazoo,D3,0.123,0.254,2.059,0.404
327,St. Thomas Aquinas,D2,0.121,0.267,2.209,0.668
328,Husson,D3,0.121,0.280,2.321,0.412
329,Becker,D3,0.111,0.330,2.974,0.493
330,La Roche,D3,0.109,0.385,3.536,0.478
331,Muskingum,D3,0.106,0.278,2.622,0.512
332,Wilkes,D3,0.103,0.307,2.971,0.553
333,Maine Maritime,D3,0.099,0.355,3.587,0.441
334,Wells,D3,0.097,0.364,3.752,0.504
335,Hiram,D3,0.096,0.315,3.280,0.576
336,Mt. St. Vincent,D3,0.095,0.340,3.580,0.483
337,Cobleskill St.,D3,0.095,0.291,3.074,0.429
338,Franciscan,D3,0.095,0.361,3.814,0.396
339,Keystone,D3,0.094,0.280,2.982,0.555
340,Houghton,D3,0.084,0.277,3.313,0.437
341,Westminster (PA),D3,0.081,0.321,3.983,0.354
342,Piedmont,D3,0.080,0.231,2.885,0.488
343,Lyndon St.,D3,0.079,0.283,3.583,0.402
344,Davis & Elkins,D2,0.078,0.276,3.567,0.558
345,Neumann,D3,0.076,0.265,3.500,0.496
346,Bethany (WV),D3,0.074,0.288,3.868,0.440
347,Emerson,D3,0.072,0.286,3.975,0.471
348,Alfred St.,D3,0.071,0.275,3.882,0.509
349,Dubuque,D3,0.071,0.224,3.156,0.448
350,Wheelock,D3,0.070,0.205,2.932,0.376
351,Oglethorpe,D3,0.059,0.245,4.167,0.477
352,Anna Maria,D3,0.058,0.192,3.325,0.425
353,Green Mountain,D3,0.057,0.233,4.070,0.373
354,Medaille,D3,0.050,0.213,4.239,0.412
355,Thomas (ME),D3,0.049,0.185,3.753,0.386
356,Johnson St.,D3,0.046,0.192,4.181,0.416
357,Dallas,D3,0.044,0.162,3.702,0.408
358,Concordia Chicago,D3,0.041,0.174,4.277,0.488
359,Me.-Farmington,D3,0.035,0.166,4.696,0.422
360,Carroll (WI),D3,0.026,0.125,4.911,0.374
361,Defiance,D3,0.025,0.135,5.476,0.436
