game_id	section_id	team_id	team_name	team_url	period_scores
3112253	0	22	American Int'l		[1, 3, 3, 2, 9]
3112253	1	1318	Post		[2, 4, 2, 3, 11]
3346776	0	542	Pfeiffer		[1, 0, 2, 3, 6]
3346776	1	1245	Mount Olive		[3, 1, 2, 4, 10]
3222063	0	30154	Young Harris		[1, 2, 3, 1, 7]
3222063	1	584	Rollins		[1, 5, 5, 3, 14]
3263576	0	608	Saint Leo		[2, 0, 1, 3, 6]
3263576	1	689	Tampa		[2, 2, 3, 2, 9]
3249805	0	30056	Notre Dame de Namur		[0, 3, 1, 0, 4]
3249805	1	30118	Dominican (CA)		[6, 5, 6, 6, 23]
3300500	0	30056	Notre Dame de Namur		[1, 2, 0, 3, 6]
3300500	1	929	Adams St.		[2, 7, 4, 0, 13]
2970933	0	30094	Brevard		[5, 3, 1, 2, 11]
2970933	1		Emmanuel (GA)		[1, 5, 4, 2, 12]
3168514	0	56	Bentley		[1, 3, 3, 3, 10]
3168514	1	2692	Dowling		[6, 2, 3, 4, 15]
3327638	0	3	Adelphi		[5, 3, 1, 3, 12]
3327638	1	410	Merrimack		[1, 2, 2, 5, 10]
3112293	0	30094	Brevard		[2, 4, 3, 2, 11]
3112293	1	30154	Young Harris		[1, 4, 1, 4, 10]
3311338	0	362	LIU Post		[1, 3, 3, 0, 7]
3311338	1	408	Mercyhurst		[1, 3, 2, 3, 9]
3346884	0	22	American Int'l		[2, 1, 1, 6, 10]
3346884	1	468	Southern N.H.		[7, 2, 4, 2, 15]
3222611	0	593	St. Anselm		[0, 2, 3, 3, 8]
3222611	1	3	Adelphi		[3, 6, 3, 2, 14]
3264165	0	8956	Dominican (NY)		[0, 2, 3, 4, 9]
3264165	1	221	FDU-Florham		[4, 4, 4, 4, 16]
3249808	0	934	Alderson Broaddus		[0, 0, 0, 2, 2]
3249808	1	2746	Lake Erie		[6, 6, 3, 6, 21]
2991700	0	2713	Oglethorpe		[1, 3, 3, 1, 8]
2991700	1	30193	Emmanuel (GA)		[7, 7, 6, 3, 23]
3300520	0	30150	Roberts Wesleyan		[1, 1, 0, 1, 3]
3300520	1	477	NYIT		[6, 5, 5, 3, 19]
