year	year_id	team_id	team_name	position	player_name	class_year	gp	gs	g	gs2	goals	assists	points	shots	shot_pct	sog	sog_pct	gwg	man-up_g	man-down_g	gb	to	ct	fo_won	fos_taken	fo_pct	pen	pen_time	ggp	ggs	g_min	goals_allowed	gaa	saves	save_pct	rc	yc	clears	att	clear_pct
2015	12121	721	Air Force	-	TEAM	-	-	-	9												1	9																		
2015	12121	721	Air Force	-	Totals	-	-	-	15		145	83	228	536	0.271	290	0.541	8	11		394	206	115	163	323	0.505	46	2,160			54,473	131	8.658	142	0.520			214	247	0.866
2015	12121	721	Air Force	-	Opponent Totals	-	-	-	15		131	70	201	465	0.282	273	0.587	7	18		426	225	116	160	323	0.495	45	2,160			54,473	145	9.583	145	0.500			206	252	0.817
2015	12121	14	Albany (NY)	-	TEAM	-	-	-	8		1					1						7					2	60	1			0								
2015	12121	14	Albany (NY)	-	Totals	-	-	-	19		325	203	528	887	0.366	579	0.653	16	42	1	734	297	188	265	579	0.458	72	3,690			68,400	190	10.000	232	0.550			358	403	0.888
2015	12121	14	Albany (NY)	-	Opponent Totals	-	-	-	19		190	89	279	691	0.275	422	0.611	3	26	5	659	338	143	314	579	0.542	97	5,010			68,400	325	17.105	254	0.439			276	351	0.786
2015	12121	725	Army West Point	-	TEAM	-	-	-	13				0								2	17	1																	
2015	12121	725	Army West Point	-	Totals	-	-	-	17		191	112	303	621	0.308	375	0.604	10	19	1	485	231	114	220	386	0.570	40	1,800			61,200	136	8.000	150	0.524			252	289	0.872
2015	12121	725	Army West Point	-	Opponent Totals	-	-	-	17		136	67	203	487	0.279	286	0.587	7	15	2	458	236	122	166	386	0.430	48	2,400			61,200	191	11.235	184	0.491			265	321	0.826
2015	12121	52	Bellarmine	-	TEAM	-	-	-	9												1	8	1				2	60												
2015	12121	52	Bellarmine	-	Totals	-	-	-	12		119	65	184	406	0.293	263	0.648	4	5		320	169	87	131	274	0.478	52	2,520			43,200	116	9.667	130	0.528			189	220	0.859
2015	12121	52	Bellarmine	-	Opponent Totals	-	-	-	12		116	60	176	410	0.283	246	0.600	8	13	1	317	174	86	143	274	0.522	23	1,170			43,200	119	9.917	144	0.548			205	232	0.884
2015	12121	62	Binghamton	-	TEAM	-	-	-	6													9																		
2015	12121	62	Binghamton	-	Totals	-	-	-	13		140	78	218	455	0.308	265	0.582	4	11		336	172	67	169	319	0.530	33	1,350			46,907	140	10.745	129	0.480			219	246	0.890
2015	12121	62	Binghamton	-	Opponent Totals	-	-	-	13		140	77	217	478	0.293	269	0.563	9	15	1	372	167	73	150	319	0.470	34	1,710			46,907	140	10.745	125	0.472			204	236	0.864
2015	12121	68	Boston U.	-	TEAM	-	-	-	7													7	1				3	90												
2015	12121	68	Boston U.	-	Totals	-	-	-	14		150	93	243	571	0.263	328	0.574	6	18	3	432	217	102	216	339	0.637	47	2,130			50,400	140	10.000	163	0.538			181	231	0.784
2015	12121	68	Boston U.	-	Opponent Totals	-	-	-	14		140	80	220	492	0.285	303	0.616	8	14		396	207	99	123	339	0.363	50	2,310			50,400	150	10.714	178	0.543			215	263	0.817
2015	12121	80	Brown	-	TEAM	-	-	-	9													14	2																	
