BEGIN
CREATE TABLE
INSERT 0 467
 rk  |         team         | div |  str  |  ofs  |  dfs  |  sos  
-----+----------------------+-----+-------+-------+-------+-------
   1 | Maryland             |   1 | 3.258 | 1.776 | 0.545 | 1.257
   2 | North Carolina       |   1 | 3.229 | 1.786 | 0.553 | 1.335
   3 | Stony Brook          |   1 | 2.762 | 1.328 | 0.481 | 1.117
   4 | Duke                 |   1 | 2.742 | 1.590 | 0.580 | 1.252
   5 | Albany (NY)          |   1 | 2.685 | 1.485 | 0.553 | 1.042
   6 | Florida              |   1 | 2.614 | 1.749 | 0.669 | 1.141
   7 | Syracuse             |   1 | 2.520 | 1.753 | 0.696 | 1.376
   8 | Boston College       |   1 | 2.371 | 1.714 | 0.723 | 1.219
   9 | Penn St.             |   1 | 2.246 | 1.561 | 0.695 | 1.195
  10 | Virginia             |   1 | 2.236 | 1.651 | 0.738 | 1.321
  11 | Northwestern         |   1 | 2.162 | 1.506 | 0.696 | 1.319
  12 | Massachusetts        |   1 | 2.098 | 1.214 | 0.579 | 0.973
  13 | Loyola Maryland      |   1 | 2.081 | 1.399 | 0.672 | 1.141
  14 | James Madison        |   1 | 2.074 | 1.581 | 0.762 | 1.185
  15 | Cornell              |   1 | 2.046 | 1.535 | 0.750 | 1.153
  16 | Penn                 |   1 | 2.039 | 1.212 | 0.594 | 1.151
  17 | Louisville           |   1 | 1.991 | 1.463 | 0.735 | 1.187
  18 | Johns Hopkins        |   1 | 1.986 | 1.261 | 0.635 | 1.086
  19 | Stanford             |   1 | 1.983 | 1.658 | 0.836 | 1.072
  20 | Notre Dame           |   1 | 1.928 | 1.311 | 0.680 | 1.245
  21 | Southern California  |   1 | 1.842 | 1.276 | 0.693 | 1.042
  22 | Delaware             |   1 | 1.830 | 1.172 | 0.640 | 1.065
  23 | Navy                 |   1 | 1.791 | 1.264 | 0.706 | 1.036
  24 | Princeton            |   1 | 1.783 | 1.374 | 0.771 | 1.186
  25 | Adelphi              |   2 | 1.720 | 1.128 | 0.655 | 0.787
  26 | UConn                |   1 | 1.717 | 1.306 | 0.760 | 1.103
  27 | Ohio St.             |   1 | 1.698 | 1.416 | 0.834 | 1.114
  28 | Lock Haven           |   2 | 1.634 | 1.008 | 0.617 | 0.825
  29 | Harvard              |   1 | 1.580 | 1.214 | 0.768 | 1.114
  30 | Towson               |   1 | 1.529 | 1.156 | 0.756 | 1.171
  31 | Jacksonville         |   1 | 1.524 | 1.213 | 0.796 | 0.877
  32 | Hofstra              |   1 | 1.485 | 1.140 | 0.768 | 1.155
  33 | Denver               |   1 | 1.385 | 1.124 | 0.812 | 1.042
  34 | Le Moyne             |   2 | 1.341 | 1.115 | 0.832 | 0.831
  35 | Colgate              |   1 | 1.313 | 1.133 | 0.863 | 1.021
  36 | Winthrop             |   1 | 1.310 | 1.120 | 0.855 | 0.814
  37 | Fairfield            |   1 | 1.277 | 0.938 | 0.734 | 0.954
  38 | Colorado             |   1 | 1.251 | 1.074 | 0.858 | 0.966
  39 | Lindenwood (MO)      |   2 | 1.247 | 1.105 | 0.886 | 0.765
  40 | SUNY Cortland        |   3 | 1.239 | 1.258 | 1.015 | 0.800
  41 | Vanderbilt           |   1 | 1.239 | 1.229 | 0.992 | 1.102
  42 | Trinity (CT)         |   3 | 1.237 | 1.117 | 0.903 | 0.849
  43 | Virginia Tech        |   1 | 1.221 | 1.116 | 0.914 | 1.178
  44 | Lehigh               |   1 | 1.221 | 0.961 | 0.787 | 1.015
  45 | Vermont              |   1 | 1.191 | 1.196 | 1.005 | 1.031
  46 | Canisius             |   1 | 1.181 | 1.156 | 0.979 | 1.030
  47 | Gettysburg           |   3 | 1.171 | 1.061 | 0.906 | 0.780
  48 | Oregon               |   1 | 1.151 | 1.025 | 0.890 | 0.954
  49 | Yale                 |   1 | 1.132 | 0.896 | 0.791 | 1.091
  50 | LIU Post             |   2 | 1.127 | 0.846 | 0.750 | 0.742
  51 | New Haven            |   2 | 1.120 | 1.045 | 0.933 | 0.801
  52 | Georgetown           |   1 | 1.114 | 0.977 | 0.877 | 1.205
  53 | Dartmouth            |   1 | 1.112 | 0.983 | 0.884 | 1.213
  54 | Frank. & Marsh.      |   3 | 1.106 | 1.074 | 0.971 | 0.777
  55 | UMBC                 |   1 | 1.081 | 0.985 | 0.911 | 1.043
  56 | Brown                |   1 | 1.077 | 0.936 | 0.869 | 1.050
  57 | Boston U.            |   1 | 1.070 | 0.951 | 0.889 | 1.075
  58 | Limestone            |   2 | 1.069 | 0.883 | 0.826 | 0.698
  59 | William & Mary       |   1 | 1.065 | 1.087 | 1.021 | 1.124
  60 | Temple               |   1 | 1.058 | 1.000 | 0.946 | 1.026
  61 | San Diego St.        |   1 | 1.052 | 1.110 | 1.055 | 1.018
  62 | Monmouth             |   1 | 1.051 | 0.922 | 0.877 | 0.947
  63 | Fla. Southern        |   2 | 1.041 | 1.018 | 0.978 | 0.773
  64 | Michigan             |   1 | 1.038 | 1.045 | 1.007 | 1.080
  65 | Middlebury           |   3 | 1.037 | 1.056 | 1.018 | 0.830
  66 | Villanova            |   1 | 1.034 | 0.987 | 0.954 | 1.077
  67 | New Hampshire        |   1 | 1.031 | 1.062 | 1.030 | 1.112
  68 | Marist               |   1 | 1.017 | 0.985 | 0.969 | 0.968
  69 | High Point           |   1 | 1.010 | 0.985 | 0.975 | 0.944
  70 | Richmond             |   1 | 1.001 | 0.877 | 0.877 | 1.021
  71 | Salisbury            |   3 | 0.997 | 0.795 | 0.798 | 0.739
  72 | Mercyhurst           |   2 | 0.996 | 0.997 | 1.002 | 0.819
  73 | Elon                 |   1 | 0.991 | 0.946 | 0.955 | 1.050
  74 | Stonehill            |   2 | 0.986 | 0.923 | 0.937 | 0.809
  75 | Drexel               |   1 | 0.965 | 0.818 | 0.847 | 1.156
  76 | Rutgers              |   1 | 0.963 | 1.020 | 1.059 | 1.246
  77 | TCNJ                 |   3 | 0.948 | 0.766 | 0.809 | 0.665
  78 | Duquesne             |   1 | 0.948 | 0.930 | 0.981 | 0.989
  79 | Siena                |   1 | 0.947 | 0.978 | 1.033 | 0.900
  80 | Rollins              |   2 | 0.945 | 1.069 | 1.130 | 0.845
  81 | George Mason         |   1 | 0.937 | 0.967 | 1.032 | 0.923
  82 | Grand Valley St.     |   2 | 0.936 | 0.917 | 0.980 | 0.706
  83 | Bryant               |   1 | 0.933 | 0.982 | 1.053 | 0.847
  84 | Mount Olive          |   2 | 0.932 | 0.769 | 0.825 | 0.650
  85 | Old Dominion         |   1 | 0.927 | 1.021 | 1.102 | 0.804
  86 | West Chester         |   2 | 0.911 | 0.957 | 1.050 | 0.832
  87 | Columbia             |   1 | 0.902 | 0.877 | 0.972 | 1.027
  88 | La Salle             |   1 | 0.900 | 0.993 | 1.103 | 0.924
  89 | Marquette            |   1 | 0.879 | 0.777 | 0.884 | 1.062
  90 | Seton Hill           |   2 | 0.869 | 0.941 | 1.083 | 0.805
  91 | Springfield          |   3 | 0.862 | 0.762 | 0.884 | 0.671
  92 | Holy Cross           |   1 | 0.843 | 0.848 | 1.005 | 1.074
  93 | Davidson             |   1 | 0.838 | 0.854 | 1.019 | 0.954
  94 | Amherst              |   3 | 0.831 | 0.818 | 0.984 | 0.837
  95 | Messiah              |   3 | 0.830 | 0.840 | 1.012 | 0.716
  96 | Queens (NC)          |   2 | 0.816 | 0.886 | 1.086 | 0.681
  97 | Bowdoin              |   3 | 0.813 | 0.851 | 1.047 | 0.781
  98 | Liberty              |   1 | 0.813 | 1.089 | 1.338 | 0.917
  99 | SUNY Geneseo         |   3 | 0.798 | 0.693 | 0.868 | 0.706
 100 | George Washington    |   1 | 0.789 | 0.953 | 1.208 | 1.012
 101 | Coastal Caro.        |   1 | 0.782 | 0.888 | 1.136 | 0.792
 102 | Catholic             |   3 | 0.780 | 0.937 | 1.202 | 0.694
 103 | Wagner               |   1 | 0.775 | 0.867 | 1.119 | 0.820
 104 | Colby                |   3 | 0.767 | 0.757 | 0.986 | 0.773
 105 | UC Davis             |   1 | 0.764 | 0.786 | 1.029 | 1.003
 106 | American             |   1 | 0.740 | 0.847 | 1.145 | 1.029
 107 | St. Anselm           |   2 | 0.736 | 0.926 | 1.259 | 0.815
 108 | Iona                 |   1 | 0.735 | 0.860 | 1.170 | 0.914
 109 | Regis (CO)           |   2 | 0.725 | 0.985 | 1.358 | 0.697
 110 | Robert Morris        |   1 | 0.725 | 0.978 | 1.350 | 0.778
 111 | York (PA)            |   3 | 0.724 | 0.757 | 1.046 | 0.745
 112 | Tufts                |   3 | 0.723 | 0.828 | 1.145 | 0.823
 113 | Brockport            |   3 | 0.712 | 0.976 | 1.371 | 0.775
 114 | Ithaca               |   3 | 0.691 | 0.818 | 1.184 | 0.726
 115 | Saint Joseph's       |   1 | 0.688 | 0.895 | 1.300 | 0.960
 116 | Binghamton           |   1 | 0.688 | 0.783 | 1.137 | 1.006
 117 | Hamilton             |   3 | 0.684 | 0.668 | 0.976 | 0.818
 118 | Union (NY)           |   3 | 0.683 | 0.805 | 1.179 | 0.726
 119 | Niagara              |   1 | 0.681 | 0.858 | 1.260 | 0.951
 120 | California           |   1 | 0.677 | 0.949 | 1.401 | 1.061
 121 | Indiana (PA)         |   2 | 0.665 | 0.952 | 1.431 | 0.852
 122 | Bentley              |   2 | 0.661 | 0.887 | 1.342 | 0.825
 123 | Dowling              |   2 | 0.660 | 0.754 | 1.142 | 0.692
